Movie_id,Movie_Name,Storyline,Budget,Language,Revenue,Image,Rating,Genre1,Genre2,Genre3,Cast1,Cast2,Cast3
625,Zack and Miri Make a Porno,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",24000000,English,42105111,https://image.tmdb.org/t/p/w220_and_h330_face/40qxr2p2s297Q1mWFJOsRatQPK0.jpg,63,Comedy,unknown,unknown,Seth Rogen,Elizabeth Banks,Craig Robinson
626,Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",125000000,English,493214993,https://image.tmdb.org/t/p/w220_and_h330_face/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg,59,Adventure,Fantasy,Action,Sam Worthington,Gemma Arterton,Mads Mikkelsen
627,Dragon Ball Z: Bojack Unbound,"Mr. Money is holding another World Martial Arts Tournament and Mr. Satan invites everyone in the world to join in. Little does he know that Bojack, an ancient villain who has escaped his prison, is competing. Since Goku is currently dead, it is up to Gohan, Vegeta, and Trunks to defeat Bojack and his henchman.",0,Japanese,20100000,https://image.tmdb.org/t/p/w220_and_h330_face/iihTK9Af8G1ZzBjkIIAV4qQMkzF.jpg,70,Action,Animation,Science Fiction,Masako Nozawa,Daisuke Gouri,Tesshou Genda
628,There's Someone Inside Your House,"As the countdown to graduation begins, students at Osborne High are being stalked by a maniac intent on exposing their darkest secrets to the entire town, terrorizing victims while wearing a life-like mask of their own face. With a mysterious past of her own, Makani and her friends must discover the killer's identity before they become victims themselves.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/GaPJQscaH4MtYQTbJyWjCUIho8.jpg,56,Thriller,Horror,Mystery,Sydney Park,Théodore Pellerin,Asjha Cooper
629,Maze Runner: The Scorch Trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",61000000,English,312296056,https://image.tmdb.org/t/p/w220_and_h330_face/mYw7ZyejqSCPFlrT2jHZOESZDU3.jpg,67,Science Fiction,Action,Thriller,Dylan O'Brien,Ki Hong Lee,Kaya Scodelario
630,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",75000000,English,201858461,https://image.tmdb.org/t/p/w220_and_h330_face/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,70,Action,Crime,unknown,Margot Robbie,Ewan McGregor,Mary Elizabeth Winstead
631,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",250000000,English,873637528,https://image.tmdb.org/t/p/w220_and_h330_face/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,59,Action,Adventure,Fantasy,Ben Affleck,Henry Cavill,Jesse Eisenberg
632,Catch the Bullet,"U.S. marshal Britt MacMasters returns from a mission to find his father wounded and his son kidnapped by the outlaw Jed Blake. Hot on their trail, Britt forms a posse with a gunslinging deputy and a stoic Pawnee tracker. But Jed and Britt tread dangerously close to the Red Desert’s Sioux territory.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/7PoomidF9HlMKXcAyOJ87lGkhSp.jpg,57,Western,Action,unknown,Jay Pickett,Peter Facinelli,Tom Skerritt
633,The Emperor's New Groove,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",100000000,English,169327687,https://image.tmdb.org/t/p/w220_and_h330_face/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg,75,Adventure,Animation,Comedy,David Spade,John Goodman,Eartha Kitt
634,Love and Leashes,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.",0,Korean,0,https://image.tmdb.org/t/p/w220_and_h330_face/yQgGYiHUoDYeA4TbYlghpA5lmKH.jpg,66,Romance,Comedy,unknown,Seohyun,Lee Jun-young,Lee El
635,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",150000000,English,163712074,https://image.tmdb.org/t/p/w220_and_h330_face/gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg,62,Science Fiction,Action,Adventure,Edward Norton,Liv Tyler,Tim Roth
636,Alone,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/n9OzZmPMnVrV0cMQ7amX0DtBkQH.jpg,62,Thriller,Horror,unknown,Jules Willcox,Marc Menchaca,Anthony Heald
637,Hitman: Agent 47,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,35000000,English,81967450,https://image.tmdb.org/t/p/w220_and_h330_face/52NXkgvzRYjRnqRPpqjpiwsIgRG.jpg,58,Action,Crime,Thriller,Rupert Friend,Zachary Quinto,Hannah Ware
