Language,Cast1,Cast2,Cast3,Genre1,Genre2,Genre3,Movie_Name,comb
English,Chloë Grace Moretz,Sam Claflin,Gina Gershon,Animation,Romance,Family,Red Shoes and the Seven Dwarfs,Red Shoes and the Seven Dwarfs English Chloë Grace Moretz Sam Claflin Gina Gershon Animation Romance Family
English,Kat Graham,Merritt Patterson,Sebastian Roché,Thriller,unknown,unknown,Heatwave,Heatwave English Kat Graham Merritt Patterson Sebastian Roché Thriller unknown unknown
English,Paul Rudd,Michael Douglas,Evangeline Lilly,Science Fiction,Action,Adventure,Ant-Man,Ant-Man English Paul Rudd Michael Douglas Evangeline Lilly Science Fiction Action Adventure
English,Marlon Wayans,Essence Atkins,Nick Swardson,Comedy,Horror,unknown,A Haunted House,A Haunted House English Marlon Wayans Essence Atkins Nick Swardson Comedy Horror unknown
English,Jorge Lendeborg Jr.,Debby Ryan,Lucy Fry,Horror,Thriller,Action,Night Teeth,Night Teeth English Jorge Lendeborg Jr. Debby Ryan Lucy Fry Horror Thriller Action
English,Will Smith,Jared Leto,Margot Robbie,Action,Adventure,Fantasy,Suicide Squad,Suicide Squad English Will Smith Jared Leto Margot Robbie Action Adventure Fantasy
English,Nicolas Cage,Ryan Reynolds,Emma Stone,Animation,Adventure,Family,The Croods,The Croods English Nicolas Cage Ryan Reynolds Emma Stone Animation Adventure Family
Korean,Ha Jung-woo,Cha Tae-hyun,Ju Ji-hoon,Drama,Fantasy,Action,Along with the Gods: The Two Worlds,Along with the Gods: The Two Worlds Korean Ha Jung-woo Cha Tae-hyun Ju Ji-hoon Drama Fantasy Action
English,Glenn Close,Jeff Daniels,Joely Richardson,Family,Comedy,unknown,101 Dalmatians,101 Dalmatians English Glenn Close Jeff Daniels Joely Richardson Family Comedy unknown
English,Joey King,Joel Courtney,Jacob Elordi,Romance,Comedy,unknown,The Kissing Booth,The Kissing Booth English Joey King Joel Courtney Jacob Elordi Romance Comedy unknown
English,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama,unknown,unknown,Creed,Creed English Michael B. Jordan Sylvester Stallone Tessa Thompson Drama unknown unknown
English,America Young,Erica Lindbeck,Cassandra Lee Morris,Animation,Music,unknown,Barbie: Princess Adventure,Barbie: Princess Adventure English America Young Erica Lindbeck Cassandra Lee Morris Animation Music unknown
English,Madison Pettis,Piper Curda,Darren Barnet,Comedy,unknown,unknown,American Pie Presents: Girls' Rules,American Pie Presents: Girls' Rules English Madison Pettis Piper Curda Darren Barnet Comedy unknown unknown
English,Kiana Madeira,Ashley Zukerman,Gillian Jacobs,Mystery,Horror,unknown,Fear Street: 1666,Fear Street: 1666 English Kiana Madeira Ashley Zukerman Gillian Jacobs Mystery Horror unknown
English,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,Thriller,History,Drama,The Courier,The Courier English Benedict Cumberbatch Merab Ninidze Rachel Brosnahan Thriller History Drama
English,Alan Cumming,Evan Rachel Wood,Elijah Kelley,Music,Animation,Family,Strange Magic,Strange Magic English Alan Cumming Evan Rachel Wood Elijah Kelley Music Animation Family
English,Jay Baruchel,Gerard Butler,Craig Ferguson,Fantasy,Adventure,Animation,How to Train Your Dragon,How to Train Your Dragon English Jay Baruchel Gerard Butler Craig Ferguson Fantasy Adventure Animation
English,Nicolas Cage,Emily Tosta,Beth Grant,Action,Horror,Comedy,Willy's Wonderland,Willy's Wonderland English Nicolas Cage Emily Tosta Beth Grant Action Horror Comedy
English,Ethan Hawke,Lena Headey,Max Burkholder,Science Fiction,Horror,Thriller,The Purge,The Purge English Ethan Hawke Lena Headey Max Burkholder Science Fiction Horror Thriller
English,Kate Beckinsale,Stephen Rea,Michael Ealy,Fantasy,Action,Horror,Underworld: Awakening,Underworld: Awakening English Kate Beckinsale Stephen Rea Michael Ealy Fantasy Action Horror
French,Diane Kruger,Djimon Hounsou,Benoît Magimel,Action,Drama,War,Special Forces,Special Forces French Diane Kruger Djimon Hounsou Benoît Magimel Action Drama War
English,Justin Fletcher,John Sparkes,Kate Harbour,Animation,Comedy,Family,Shaun the Sheep: The Flight Before Christmas,Shaun the Sheep: The Flight Before Christmas English Justin Fletcher John Sparkes Kate Harbour Animation Comedy Family
Polish,Jakub Zając,Cyprian Grabowski,Anna Smołowik,Family,Fantasy,Comedy,David and the Elves,David and the Elves Polish Jakub Zając Cyprian Grabowski Anna Smołowik Family Fantasy Comedy
English,Bruce Greenwood,Vincent Martella,John DiMaggio,Animation,Action,unknown,Batman: Death in the Family,Batman: Death in the Family English Bruce Greenwood Vincent Martella John DiMaggio Animation Action unknown
English,Rami Malek,Gwilym Lee,Ben Hardy,Music,Drama,History,Bohemian Rhapsody,Bohemian Rhapsody English Rami Malek Gwilym Lee Ben Hardy Music Drama History
English,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction,Action,Adventure,Maze Runner: The Death Cure,Maze Runner: The Death Cure English Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Science Fiction Action Adventure
English,Nicholas D'Agosto,Emma Bell,Miles Fisher,Horror,Mystery,unknown,Final Destination 5,Final Destination 5 English Nicholas D'Agosto Emma Bell Miles Fisher Horror Mystery unknown
English,Jaeden Martell,Jeremy Ray Taylor,Sophia Lillis,Horror,Fantasy,unknown,It,It English Jaeden Martell Jeremy Ray Taylor Sophia Lillis Horror Fantasy unknown
English,Billy Crystal,John Goodman,Steve Buscemi,Animation,Family,unknown,Monsters University,Monsters University English Billy Crystal John Goodman Steve Buscemi Animation Family unknown
Italian,Filippo Timi,Francesco Scianna,Francesco Gheghi,Comedy,Drama,unknown,The Invisible Thread,The Invisible Thread Italian Filippo Timi Francesco Scianna Francesco Gheghi Comedy Drama unknown
Japanese,Ayaka Nanase,Haruka Tomatsu,You Taichi,Animation,Action,Drama,Black Fox,Black Fox Japanese Ayaka Nanase Haruka Tomatsu You Taichi Animation Action Drama
English,Chris Sarandon,Danny Elfman,Catherine O'Hara,Fantasy,Animation,Family,The Nightmare Before Christmas,The Nightmare Before Christmas English Chris Sarandon Danny Elfman Catherine O'Hara Fantasy Animation Family
English,Nicolas Cage,Ron Perlman,Ulrich Thomsen,Adventure,Fantasy,Action,Season of the Witch,Season of the Witch English Nicolas Cage Ron Perlman Ulrich Thomsen Adventure Fantasy Action
English,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Action,Adventure,Science Fiction,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2 English Jennifer Lawrence Josh Hutcherson Liam Hemsworth Action Adventure Science Fiction
Japanese,Manaka Iwami,Miyu Irino,Tomokazu Sugita,Animation,Fantasy,Romance,Maquia: When the Promised Flower Blooms,Maquia: When the Promised Flower Blooms Japanese Manaka Iwami Miyu Irino Tomokazu Sugita Animation Fantasy Romance
Chinese,Lei Jiayin,Yang Mi,Dong Zijian,Fantasy,Action,Adventure,A Writer's Odyssey,A Writer's Odyssey Chinese Lei Jiayin Yang Mi Dong Zijian Fantasy Action Adventure
English,Zachary Levi,Asher Angel,Mark Strong,Action,Comedy,Fantasy,Shazam!,Shazam! English Zachary Levi Asher Angel Mark Strong Action Comedy Fantasy
English,Jennifer Tilly,Brad Dourif,Katherine Heigl,Comedy,Horror,unknown,Bride of Chucky,Bride of Chucky English Jennifer Tilly Brad Dourif Katherine Heigl Comedy Horror unknown
English,Linda Cardellini,Raymond Cruz,Patricia Velásquez,Horror,Thriller,unknown,The Curse of La Llorona,The Curse of La Llorona English Linda Cardellini Raymond Cruz Patricia Velásquez Horror Thriller unknown
English,Keanu Reeves,Rachel Weisz,Shia LaBeouf,Fantasy,Action,Horror,Constantine,Constantine English Keanu Reeves Rachel Weisz Shia LaBeouf Fantasy Action Horror
English,Drew Barrymore,Piper Perabo,Andy García,Comedy,Family,Adventure,Beverly Hills Chihuahua,Beverly Hills Chihuahua English Drew Barrymore Piper Perabo Andy García Comedy Family Adventure
English,Hong Beom-gi,Kang Shin-hyung,Eddy Lee,Animation,Family,unknown,The Larva Island Movie,The Larva Island Movie English Hong Beom-gi Kang Shin-hyung Eddy Lee Animation Family unknown
English,Natalie Portman,Ashton Kutcher,Kevin Kline,Comedy,Romance,unknown,No Strings Attached,No Strings Attached English Natalie Portman Ashton Kutcher Kevin Kline Comedy Romance unknown
